"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.762994583E-1,3.154947066E-1,-9.287012753E-1,-5.414469069E-1,1.120351606E0
8.862704583E-1,3.410523015E-1,-1.124919215E0,-4.155142540E-1,1.246760605E0
8.962404583E-1,3.186738378E-1,-1.269605350E0,-3.131792092E-1,1.345931639E0
9.062104583E-1,3.964748427E-1,-1.445879021E0,-2.389131385E-1,1.518169270E0
9.161804583E-1,4.176783085E-1,-1.618487658E0,-3.666525811E-1,1.711254389E0
9.261504583E-1,3.625767794E-1,-1.764647584E0,-6.075297993E-1,1.901193171E0
9.361214583E-1,3.227581179E-1,-1.861457302E0,-8.894913089E-1,2.088154898E0
9.460914583E-1,2.612658745E-1,-1.852846985E0,-1.139246355E0,2.190704011E0
9.560614583E-1,1.965129313E-1,-1.794075159E0,-1.329726421E0,2.241761665E0
9.660314583E-1,2.504467714E-1,-1.671409930E0,-1.424796301E0,2.210515604E0
9.760014583E-1,3.544509038E-1,-1.494582819E0,-1.310147604E0,2.018885829E0
9.859724583E-1,4.108373585E-1,-1.355610875E0,-1.181448634E0,1.844529494E0
9.959424583E-1,4.411890855E-1,-1.196028081E0,-1.003530141E0,1.622406769E0
1.005912458E0,4.762554225E-1,-1.038595600E0,-8.446098357E-1,1.420867982E0
1.015882458E0,5.043404764E-1,-9.726998189E-1,-7.934326655E-1,1.352789580E0
1.025852458E0,4.799859461E-1,-9.286591753E-1,-7.890197718E-1,1.309712401E0
1.035823458E0,3.768504176E-1,-9.136631137E-1,-8.472574550E-1,1.301784052E0
1.045793458E0,1.633288130E-1,-9.175380635E-1,-1.082833003E0,1.428663610E0
1.055763458E0,-7.805448174E-2,-8.603581417E-1,-1.500341157E0,1.731280515E0
1.065733458E0,-3.118124226E-1,-7.303353614E-1,-1.844093703E0,2.007809332E0
1.075703458E0,-4.468047515E-1,-5.724168308E-1,-2.010232980E0,2.137365703E0
1.085673458E0,-5.880003914E-1,-4.347491084E-1,-2.082754827E0,2.207400941E0
1.095644458E0,-6.275275692E-1,-2.864426695E-1,-2.005987317E0,2.121279182E0
1.105614458E0,-5.232337072E-1,-1.272260571E-1,-1.710805253E0,1.793548046E0
1.115584458E0,-3.265474060E-1,1.102472046E-1,-1.336532580E0,1.380256133E0
1.125554458E0,-2.262910464E-1,2.976509048E-1,-1.009846303E0,1.076844118E0
1.135524458E0,-1.936793706E-1,4.402476838E-1,-6.649547195E-1,8.206671071E-1
1.145495458E0,-1.565054047E-1,6.058145186E-1,-3.517462742E-1,7.177956632E-1
1.155465458E0,-6.168929458E-2,6.649114501E-1,-2.418110186E-1,7.102009394E-1
1.165435458E0,-4.488439679E-2,7.280947083E-1,-4.416162246E-1,8.527375934E-1
1.175405458E0,-2.970464489E-1,8.092882678E-1,-8.231347668E-1,1.191945862E0
1.185375458E0,-6.562233648E-1,9.258207907E-1,-1.035071191E0,1.535951045E0
1.195346458E0,-9.809457086E-1,1.012482082E0,-1.087016101E0,1.780162479E0
1.205316458E0,-1.215066762E0,9.836570625E-1,-1.061784781E0,1.889802998E0
1.215286458E0,-1.375679104E0,9.037400964E-1,-9.432663971E-1,1.897100592E0
1.225256458E0,-1.340750908E0,8.146940187E-1,-6.937709677E-1,1.715417587E0
1.235226458E0,-1.261030116E0,7.995726804E-1,-4.481978506E-1,1.558972334E0
1.245197458E0,-1.156650154E0,9.281919828E-1,-2.538615453E-1,1.504601482E0
1.255167458E0,-1.022049296E0,1.124495438E0,-1.270746142E-1,1.524868096E0
1.265137458E0,-8.810147466E-1,1.283414573E0,-1.560347039E-1,1.564508478E0
1.275107458E0,-9.354359521E-1,1.464957755E0,-3.025273365E-1,1.764274478E0
1.285077458E0,-1.050926794E0,1.598637823E0,-4.189109015E-1,1.958462753E0
1.295047458E0,-1.250381898E0,1.650935612E0,-5.325632322E-1,2.138379499E0
1.305018458E0,-1.503183343E0,1.693192124E0,-5.097783870E-1,2.320847632E0
1.314988458E0,-1.553870662E0,1.731818246E0,-3.579519242E-1,2.354110883E0
1.324958458E0,-1.510534170E0,1.737102667E0,-2.027644819E-1,2.310920290E0
1.334928458E0,-1.415746273E0,1.734175404E0,-3.933188081E-2,2.239028548E0
1.344898458E0,-1.326406665E0,1.714673917E0,1.172395974E-1,2.170992032E0
1.354869458E0,-1.188222194E0,1.674303717E0,3.334503365E-1,2.079988953E0
1.364839458E0,-1.077023794E0,1.506921906E0,5.928772616E-1,1.944812930E0
1.374808958E0,-1.034567746E0,1.353321691E0,1.065137574E0,2.009061490E0
1.384778958E0,-9.627089739E-1,1.232586774E0,1.583367527E0,2.225563175E0
1.394748958E0,-7.978316720E-1,1.022617791E0,2.016149193E0,2.397319356E0
1.404719958E0,-5.954380497E-1,8.631592503E-1,2.317881308E0,2.544044835E0
1.414689958E0,-3.974160983E-1,7.359545356E-1,2.536826205E0,2.671152528E0
1.424659958E0,-3.644505197E-1,5.702423975E-1,2.767108853E0,2.848664947E0
1.434629958E0,-4.669105487E-1,3.954733609E-1,2.966786590E0,3.029228831E0
1.444599958E0,-6.146987781E-1,2.158249690E-1,3.130492841E0,3.197564766E0
1.454570958E0,-7.312254538E-1,3.803511456E-2,3.255155479E0,3.336491349E0
1.464540958E0,-6.551037692E-1,-1.488038908E-1,3.117350054E0,3.188914378E0
1.474510958E0,-3.570093530E-1,-3.630243838E-1,2.743552176E0,2.790397986E0
1.484480958E0,2.826953351E-2,-5.346503958E-1,2.282826081E0,2.344769739E0
1.494450958E0,4.035463192E-1,-6.917035384E-1,1.837271757E0,2.004213293E0
1.504420958E0,4.745487665E-1,-7.155095999E-1,1.604071348E0,1.819394242E0
1.514391958E0,3.998470782E-1,-7.022627328E-1,1.402443565E0,1.618610078E0
1.524361958E0,2.940883425E-1,-7.643227409E-1,1.028198374E0,1.314484348E0
1.534331958E0,3.108053859E-1,-9.261850722E-1,6.270624232E-1,1.160872973E0
1.544301958E0,5.207175042E-1,-9.202280751E-1,2.442317659E-1,1.085179978E0
1.554271958E0,7.243576066E-1,-1.029870093E0,-1.164706886E-1,1.264472923E0
1.564242958E0,9.321081555E-1,-1.076437318E0,-3.464644843E-1,1.465462573E0
1.574212958E0,1.046275333E0,-1.117858555E0,-4.303650123E-1,1.590444550E0
1.584182958E0,1.119242445E0,-1.152712492E0,-4.515921593E-1,1.668947339E0
1.594152958E0,1.128522854E0,-1.211455813E0,-4.747985888E-1,1.722388667E0
1.604122958E0,1.009380865E0,-1.270715590E0,-4.630100173E-1,1.687585884E0
1.614093958E0,7.361208889E-1,-1.361455752E0,-5.242432290E-1,1.634095068E0
1.624063958E0,5.938660258E-1,-1.466646869E0,-6.917472464E-1,1.726917528E0
1.634033958E0,6.424331452E-1,-1.514333252E0,-8.918103147E-1,1.871163056E0
1.644003958E0,9.841491057E-1,-1.458969475E0,-1.099839045E0,2.075280057E0
1.653973958E0,1.187520382E0,-1.329895113E0,-1.065625817E0,2.077109543E0
1.663943958E0,1.366047571E0,-1.133393584E0,-9.496930718E-1,2.013103056E0
1.673914958E0,1.666307942E0,-1.116360645E0,-1.239347763E0,2.357716294E0
1.683884958E0,1.528687874E0,-1.069288659E0,-1.470206362E0,2.375241377E0
1.693854958E0,1.053220071E0,-9.038235654E-1,-1.535513914E0,2.069775963E0
1.703824958E0,6.232345435E-1,-6.672434659E-1,-1.552425815E0,1.801016672E0
1.713794958E0,5.579328391E-1,-4.229304238E-1,-1.306311246E0,1.482095904E0
1.723765958E0,8.084380826E-1,-2.168504244E-1,-1.048218656E0,1.341401726E0
1.733735958E0,9.609118322E-1,-1.782520768E-1,-8.822688282E-1,1.316633448E0
1.743705958E0,9.592322195E-1,-1.955246057E-1,-5.499107516E-1,1.122834875E0
1.753675958E0,7.541855693E-1,-3.504955548E-1,-4.972589135E-1,9.689733918E-1
1.763645958E0,4.372533247E-1,-4.701207431E-1,-6.320477593E-1,9.009374857E-1
1.773616958E0,2.932980913E-1,-5.839316064E-1,-7.626751417E-1,1.004327269E0
1.783586958E0,6.910458729E-1,-6.668008317E-1,-1.020843161E0,1.401530773E0
1.793556958E0,1.587145413E0,-4.299985380E-1,-8.560434812E-1,1.853844585E0
1.803526958E0,2.167623361E0,-6.556899525E-2,-8.115444160E-1,2.315490157E0
1.813496958E0,2.162846771E0,2.900047202E-1,-1.013716575E0,2.406165037E0
1.823466958E0,2.049286534E0,7.154407489E-1,-9.727299321E-1,2.378578206E0
1.833437958E0,1.859447907E0,1.008757259E0,-6.990504187E-1,2.227960775E0
1.843407958E0,1.559317344E0,1.084710398E0,-2.776772547E-1,1.919680151E0
1.853377958E0,1.200615222E0,1.125995395E0,1.997110659E-1,1.658079325E0
1.863347958E0,1.079414721E0,1.057294119E0,-4.551373261E-1,1.578023124E0
1.873317958E0,1.137174101E0,1.009186298E0,-1.572806286E0,2.187542350E0
1.883288958E0,8.600473621E-1,1.061407489E0,-2.582763101E0,2.921802964E0
1.893258958E0,5.072035655E-1,1.210156855E0,-2.976836784E0,3.253197244E0
1.903228958E0,5.488085514E-1,1.394393703E0,-2.625202192E0,3.022782025E0
1.913198958E0,4.557881212E-1,1.577894240E0,-1.629421366E0,2.313548581E0
1.923168958E0,4.288950223E-1,1.782040565E0,-3.114987195E-2,1.833191161E0
1.933138958E0,-2.545044467E-1,1.168129700E0,1.952493480E0,2.289438861E0
1.943109958E0,3.044440538E-2,4.947418334E-1,2.565426106E0,2.612873409E0
1.953079958E0,4.248636594E-1,2.614176828E-1,2.341967159E0,2.394505900E0
1.963049958E0,5.478162789E-1,3.785136580E-1,1.252758937E0,1.418724857E0
1.973019958E0,6.603667018E-1,7.539271954E-1,-7.440160918E-1,1.248218868E0
1.982989958E0,4.931123605E-1,1.345479113E0,-2.154402514E0,2.587455127E0
1.992960958E0,6.763445109E-2,1.633969038E0,-2.572391894E0,3.048217396E0
2.002930958E0,4.121994674E-2,1.490430712E0,-1.934667658E0,2.442544112E0
2.012900958E0,-3.748369288E-1,9.277292488E-1,-5.361241865E-1,1.135171100E0
2.022870958E0,-1.185821474E0,1.092502397E0,9.321689665E-1,1.862437392E0
2.032840958E0,-7.949622971E-1,1.794603893E0,2.532872318E0,3.204373631E0
2.042810958E0,-2.785400113E-1,1.639351693E0,4.723214743E0,5.007376161E0
2.052781958E0,-2.127734533E-1,7.312747166E-1,4.932469050E0,4.990920374E0
2.062751958E0,-1.003981546E-1,-2.710135850E-1,2.410419343E0,2.427683991E0
2.072721958E0,-3.701383987E-1,-7.572676367E-1,-1.116072670E0,1.398597480E0
2.082691958E0,-7.015846020E-1,-4.165213638E-1,-3.283903314E0,3.383745259E0
2.092661958E0,-8.332788089E-1,4.718690972E-1,-2.445327805E0,2.626145863E0
2.102632958E0,-1.186726038E0,1.106573283E0,1.389666814E-1,1.628537644E0
2.112602958E0,-1.133186739E0,1.278018324E0,2.693303543E0,3.189251793E0
2.122572958E0,-5.242936613E-1,9.987909722E-1,4.496134030E0,4.635481471E0
2.132542958E0,2.618308617E-1,3.059525989E-1,4.425240633E0,4.443525296E0
2.142512958E0,4.793464069E-1,-2.655413220E-1,2.895528327E0,2.946925426E0
2.152482958E0,2.010623574E-2,-4.612183939E-1,2.770905451E0,2.809100155E0
2.162453958E0,-4.683781267E-1,-3.711586647E-1,2.846877154E0,2.908925292E0
2.172423958E0,-1.029836179E0,-5.325624282E-1,1.754890335E0,2.103289182E0
2.182393958E0,-1.930845333E0,-3.406159531E-1,1.937150971E0,2.756217846E0
2.192363958E0,-1.453647486E0,-2.063923869E-1,1.262061272E0,1.936101104E0
2.202333958E0,-5.750527556E-1,1.429958515E-1,1.728708258E0,1.827447872E0
2.212304958E0,1.276068570E-1,4.263617161E-1,2.577270811E0,2.615414433E0
2.222274958E0,5.968399197E-1,3.954731416E-1,2.575387423E0,2.673057664E0
2.232244958E0,5.628171645E-1,1.733696517E-1,1.893332521E0,1.982808169E0
2.242214958E0,8.192014910E-2,-1.197753156E-1,1.034544357E0,1.044671749E0
2.252184958E0,-3.795737582E-1,-3.635617429E-1,2.274654597E-1,5.727075294E-1
2.262154958E0,-5.369721059E-1,-5.934237570E-1,-3.142884260E-1,8.598069624E-1
